concept id	representation id	en	kanji	kana
FMA44886	BP5859	left fibular vein	left fibular vein	left fibular vein
FMA44887	BP5855	right genicular vein	right genicular vein	right genicular vein
FMA44888	BP5856	left genicular vein	left genicular vein	left genicular vein
FMA44918	BP5864	right medial circumflex femoral vein	right medial circumflex femoral vein	right medial circumflex femoral vein
FMA44919	BP5865	left medial circumflex femoral vein	left medial circumflex femoral vein	left medial circumflex femoral vein
FMA44920	BP5867	right lateral circumflex femoral vein	right lateral circumflex femoral vein	right lateral circumflex femoral vein
FMA44922	BP5868	left lateral circumflex femoral vein	left lateral circumflex femoral vein	left lateral circumflex femoral vein
FMA45096	BP8273	sesamoid bone of foot	sesamoid bone of foot	sesamoid bone of foot
FMA45097	BP8756	sesamoid bone of right foot	sesamoid bone of right foot	sesamoid bone of right foot
FMA45098	BP8272	sesamoid bone of left foot	sesamoid bone of left foot	sesamoid bone of left foot
FMA45638	BP6619	subdivision of nervous system	subdivision of nervous system	subdivision of nervous system
FMA45728	BP8668	anatomical lobe	胸腺の葉	きょうせんのよう
FMA45729	BP7943	head of organ	head of organ	head of organ
FMA45732	BP9200	parenchyma	parenchyma	parenchyma
FMA45734	BP8990	body of organ	body of organ	body of organ
FMA45738	BP4911	platysma	広頚筋	こうけいきん
FMA45739	BP4912	right platysma	right platysma	right platysma
FMA45740	BP7577	left platysma	left platysma	left platysma
FMA45826	BP4901	right stylohyoid	right stylohyoid	right stylohyoid
FMA45827	BP4902	left stylohyoid	left stylohyoid	left stylohyoid
FMA45854	BP9143	right pubococcygeus	right pubococcygeus	right pubococcygeus
FMA45855	BP7791	left pubococcygeus	left pubococcygeus	left pubococcygeus
FMA45856	BP8202	right puborectalis	right puborectalis	right puborectalis
FMA45857	BP8228	left puborectalis	left puborectalis	left puborectalis
FMA45858	BP8874	right iliococcygeus	right iliococcygeus	right iliococcygeus
FMA45859	BP8007	left iliococcygeus	left iliococcygeus	left iliococcygeus
FMA45874	BP5615	abdominal part of right pectoralis major	abdominal part of right pectoralis major	abdominal part of right pectoralis major
FMA45875	BP7862	abdominal part of left pectoralis major	abdominal part of left pectoralis major	abdominal part of left pectoralis major
FMA45881	BP8333	head of biceps femoris	head of biceps femoris	head of biceps femoris
FMA45887	BP8332	long head of biceps femoris	大腿二頭筋の長頭	だいたいにとうきんのちょうとう
FMA45888	BP5575	long head of right biceps femoris	long head of right biceps femoris	long head of right biceps femoris
FMA45889	BP8331	long head of left biceps femoris	long head of left biceps femoris	long head of left biceps femoris
FMA45890	BP8617	short head of biceps femoris	大腿二頭筋の短頭	だいたいにとうきんのたんとう
FMA45891	BP5573	short head of right biceps femoris	short head of right biceps femoris	short head of right biceps femoris
FMA45892	BP8616	short head of left biceps femoris	short head of left biceps femoris	short head of left biceps femoris
FMA45950	BP7941	head of gastrocnemius	head of gastrocnemius	head of gastrocnemius
FMA45956	BP9218	medial head of gastrocnemius	腓腹筋の内側頭	ひふくきんのないそくとう
FMA45957	BP5539	medial head of right gastrocnemius	medial head of right gastrocnemius	medial head of right gastrocnemius
FMA45958	BP9217	medial head of left gastrocnemius	medial head of left gastrocnemius	medial head of left gastrocnemius
FMA45959	BP7940	lateral head of gastrocnemius	腓腹筋の外側頭	ひふくきんのがいそくとう
FMA45960	BP5541	lateral head of right gastrocnemius	lateral head of right gastrocnemius	lateral head of right gastrocnemius
FMA45961	BP7939	lateral head of left gastrocnemius	lateral head of left gastrocnemius	lateral head of left gastrocnemius
FMA45963	BP8363	head of flexor hallucis brevis	head of flexor hallucis brevis	head of flexor hallucis brevis
FMA45969	BP8946	medial head of flexor hallucis brevis	短母趾屈筋の内側頭	たんぼしくっきんのないそくとう
FMA45970	BP8362	lateral head of flexor hallucis brevis	短母趾屈筋の外側頭	たんぼしくっきんのがいそくとう
FMA45971	BP5546	medial head of right flexor hallucis brevis	medial head of right flexor hallucis brevis	medial head of right flexor hallucis brevis
FMA45972	BP8945	medial head of left flexor hallucis brevis	medial head of left flexor hallucis brevis	medial head of left flexor hallucis brevis
FMA45973	BP5548	lateral head of right flexor hallucis brevis	lateral head of right flexor hallucis brevis	lateral head of right flexor hallucis brevis
FMA45974	BP8361	lateral head of left flexor hallucis brevis	lateral head of left flexor hallucis brevis	lateral head of left flexor hallucis brevis
FMA46012	BP8396	head of adductor hallucis	head of adductor hallucis	head of adductor hallucis
FMA46014	BP8543	oblique head of adductor hallucis	母趾内転筋の斜頭	ぼしないてんきんのしゃとう
FMA46015	BP8395	transverse head of adductor hallucis	母趾内転筋の横頭	ぼしないてんきんのおうとう
FMA46018	BP5578	oblique head of right adductor hallucis	oblique head of right adductor hallucis	oblique head of right adductor hallucis
FMA46019	BP8542	oblique head of left adductor hallucis	oblique head of left adductor hallucis	oblique head of left adductor hallucis
FMA46020	BP5580	transverse head of right adductor hallucis	transverse head of right adductor hallucis	transverse head of right adductor hallucis
FMA46021	BP8394	transverse head of left adductor hallucis	transverse head of left adductor hallucis	transverse head of left adductor hallucis
FMA46104	BP8723	superficial head of flexor pollicis brevis	短母指屈筋の浅頭	たんぼしくっきんのせんとう
FMA46119	BP8249	oblique head of adductor pollicis	母指内転筋の斜頭	ぼしないてんきんのしゃとう
